Name	Link	Family	Max Thickness (%)	x-Locationof Max Thickness (%)	Camber (%)	Data Sources	Cl max	Cl/Cd max	Cd @ Cl=0.1	Cd @ Cl=0.4	Cd @ Cl=0.6
AH 94-156	AH 94-156	Althaus	15.6	39.7	3.8	JF XF	1.53	169	0.006	0.005	0.005
AH 94-W-301	AH 94-W-301	Althaus	30.1	30.2	1.1	JF XF	1.85	48	0.022	0.02	0.02
AH 95-160	AH 95-160	Althaus	16	37.7	5.5	JF XF	1.98	151	0.009	0.009	0.008
AH-6-40-7	AH-6-40-7	Althaus	6.9	19.9	5.5	JF XF	1.7	97	0.011	0.012	0.012
AH-7-47-6	AH-7-47-6	Althaus	5.9	23.1	6.2	JF XF	1.8	94	0.048	0.038	0.036
AH21 7% VERSION	AH21 7% version	Uncategorized	9	35.8	2.3	JF XF	1.32	160	0.004	0.004	0.005
AH21 9% VERSION	AH21 9% version	Uncategorized	7	35.8	1.8	JF XF	1.07	120	0.004	0.005	0.006
AIR 100-2 ACRO MM 576 1999	AIR 100-2 Acro MM 576 1999	Uncategorized	10	30.1	1.4	JF XF	1.16	109	0.006	0.006	0.007
AMES A-01	AMES A-01	NASA	10.3	31.9	1.4	JF XF	1.27	77	0.015	0.013	0.013
AMES A-02	AMES A-02	NASA	7.7	30.1	0.6	JF XF	1.04	69	0.012	0.012	0.013
AMES A-03	AMES A-03	NASA	10	37.7	1.2	JF XF	1.17	72	0.012	0.013	0.014
AMI 43	AMI 43	Midic	8.2	24.7	3.7	JF XF	1.33	91	0.01	0.009	0.009
AMSOIL1 RUTAN CANARD	AMSOIL1 RUTAN CANARD	Uncategorized	11.6	39.7	2.1	JF XF	1.51	91	0.012	0.01	0.012
AMSOIL2 RUTAN WING	AMSOIL2 RUTAN WING	Uncategorized	11.8	39.7	1	JF XF	1.36	77	0.01	0.011	0.012
APEX 16	Apex 16	Uncategorized	12.9	37.7	2.7	JF XF	1.49	136	0.006	0.005	0.006
AQUILA 9.3% SMOOTHED	AQUILA 9.3% smoothed	Uncategorized	9.4	30.1	4	JF WT XF	1.48	149	0.003	0.005	0.005
ARA-D 10%	ARA-D 10%	Uncategorized	10	24.8	4	JF XF	1.86	73	0.019	0.019	0.02
ARA-D 13%	ARA-D 13%	Uncategorized	13	24.8	3.6	JF XF	1.95	63	0.023	0.024	0.023
